SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,Spread
99,USD Coin,USDC,2019-01-15,1.01795673666,1.00650970179,1.00745829146,1.0120690496,26459207.4750022,360749462.484744,0.011447034869999984
100,USD Coin,USDC,2019-01-16,1.01772893891,1.00798333549,1.01324008921,1.01236288503,25957205.8304464,321495519.472611,0.00974560341999986
101,USD Coin,USDC,2019-01-17,1.04489153102,1.00957036136,1.01001787707,1.03035266249,41708422.1627779,322975566.959863,0.035321169659999985
102,USD Coin,USDC,2019-01-18,1.03545237136,1.00983019041,1.02906052674,1.01311483063,18899249.3517486,326379673.600693,0.025622180949999906
103,USD Coin,USDC,2019-01-19,1.01477645705,1.00261046194,1.00987716811,1.01141061136,15830399.9154934,325827498.615332,0.012165995109999939
104,USD Coin,USDC,2019-01-20,1.02861883244,1.01047478524,1.01228744495,1.01666906274,14934092.2641319,327478050.118495,0.01814404720000007
105,USD Coin,USDC,2019-01-21,1.02276461309,1.0066863856,1.01544466796,1.01254693092,12277261.2340301,328795313.046702,0.016078227490000208
106,USD Coin,USDC,2019-01-22,1.01668914752,1.00648155911,1.01300821304,1.00854096397,18848807.076261,332524897.921907,0.010207588409999913
107,USD Coin,USDC,2019-01-23,1.01338600835,1.00628880468,1.00871711312,1.00873504232,14686835.4415569,315423713.140226,0.007097203669999885
108,USD Coin,USDC,2019-01-24,1.01303973236,1.0066487358,1.00925222748,1.01027090308,19309436.874056,323387385.892337,0.006390996559999973
109,USD Coin,USDC,2019-01-25,1.01359326219,1.008942501,1.01096887147,1.01205009088,16078526.3667974,326799020.612192,0.0046507611899999635
110,USD Coin,USDC,2019-01-26,1.01532983149,1.00631525321,1.01197512006,1.01247595084,12311593.2137115,326739212.153764,0.009014578279999963
111,USD Coin,USDC,2019-01-27,1.01932593302,1.01160988561,1.01371612921,1.01394158848,17334193.1759508,333585021.910559,0.007716047409999982
112,USD Coin,USDC,2019-01-28,1.01911952058,1.01095743262,1.01465592163,1.01180243588,34421447.6777351,318116020.307421,0.008162087960000175
113,USD Coin,USDC,2019-01-29,1.01739375,1.01007607779,1.01179394473,1.01405035508,26620697.7523504,318523791.89622,0.007317672210000126
114,USD Coin,USDC,2019-01-30,1.01651247893,1.00988028828,1.01384306463,1.01323317516,28233800.6354029,318185577.981878,0.0066321906499999805
115,USD Coin,USDC,2019-01-31,1.01576893139,1.00075802461,1.01316194964,1.01248483924,30016994.1547608,297790025.097145,0.015010906779999944
116,USD Coin,USDC,2019-02-01,1.03189150724,1.00782048175,1.01176522442,1.01584440534,26896946.932611,303077424.572742,0.024071025489999842
117,USD Coin,USDC,2019-02-02,1.01836365554,1.01102475741,1.01475400833,1.01833790169,23207115.1085043,303768811.510232,0.007338898129999993
118,USD Coin,USDC,2019-02-03,1.01690011749,1.00664066748,1.01559031598,1.01424350089,26365349.1292413,302531642.037434,0.01025945001000017
119,USD Coin,USDC,2019-02-04,1.01673508537,1.009285437,1.01375985393,1.01142529727,24242526.2893549,291806351.343298,0.0074496483699999505
120,USD Coin,USDC,2019-02-05,1.01416561471,1.00579969071,1.01156831059,1.00872942413,19011789.1280187,291042663.427329,0.008365924000000025
121,USD Coin,USDC,2019-02-06,1.01723442255,1.00752710576,1.00887688292,1.01305061223,27032563.5519743,291895729.911005,0.009707316790000142
122,USD Coin,USDC,2019-02-07,1.02472351543,1.00875336474,1.01364860779,1.01104835091,15429983.0107119,276092246.203876,0.015970150690000073
123,USD Coin,USDC,2019-02-08,1.02433464353,1.00821882128,1.0113919807,1.0173124368,31291520.4992023,277576608.787761,0.016115822249999967
124,USD Coin,USDC,2019-02-09,1.01862265472,1.00824157584,1.01720501731,1.011700656,21523061.6986847,261570198.610872,0.010381078879999839
125,USD Coin,USDC,2019-02-10,1.02054996755,1.01024089954,1.01194858234,1.01438867235,19451267.7635302,262005710.302891,0.010309068009999978
126,USD Coin,USDC,2019-02-11,1.01963582353,1.01172341102,1.01570088898,1.01328880897,19063317.9837288,261437387.316996,0.007912412510000078
127,USD Coin,USDC,2019-02-12,1.01959317846,1.01137891884,1.01243146357,1.0177738707,28682062.6880607,262859263.417836,0.008214259620000108
128,USD Coin,USDC,2019-02-13,1.01918471333,1.00882425882,1.01841211614,1.01162750703,27483515.3092978,246858431.791764,0.010360454510000006
129,USD Coin,USDC,2019-02-14,1.01557030915,1.0090540286,1.01097600534,1.01142856991,27582140.3199771,246582359.075878,0.006516280549999864
130,USD Coin,USDC,2019-02-15,1.01654617544,1.0034744211,1.01197443995,1.01182263057,35775279.330049,247301761.744006,0.013071754340000075
131,USD Coin,USDC,2019-02-16,1.0156491135,1.00699381137,1.01150634905,1.01323923249,44255528.9078786,247555008.468363,0.008655302129999987
132,USD Coin,USDC,2019-02-17,1.02654817971,1.00830187479,1.01442510463,1.02378931307,45168007.3751503,250117816.389099,0.0182463049199999
133,USD Coin,USDC,2019-02-18,1.03094089945,1.00152899863,1.02310171486,1.01289671062,51464755.6888371,247579345.238675,0.029411900820000003
134,USD Coin,USDC,2019-02-19,1.01966853328,1.0033229787,1.01300443793,1.00406898335,49393554.1421727,245411276.877195,0.016345554579999977
135,USD Coin,USDC,2019-02-20,1.02046279213,0.998658346143,1.00405001149,1.01574105877,41527390.0491207,248241906.786137,0.021804445987000043
136,USD Coin,USDC,2019-02-21,1.01639394599,1.00512978648,1.01528578098,1.01201724024,35317064.3966672,233211812.770278,0.011264159510000038
137,USD Coin,USDC,2019-02-22,1.01942530726,1.00546082061,1.0098363081,1.01573765721,32159402.8013125,233988554.864832,0.013964486649999941
138,USD Coin,USDC,2019-02-23,1.037757876,1.0072011052,1.01406562271,1.01214455272,36243964.4171107,232823545.416301,0.030556770799999855
139,USD Coin,USDC,2019-02-24,1.02891159945,0.998950105585,1.01323881506,1.00718064322,51756152.3299538,231683105.424672,0.029961493865000022
140,USD Coin,USDC,2019-02-25,1.02275939884,1.00434288221,1.00434288221,1.01758588462,52796840.5358517,234355972.972785,0.01841651662999988
141,USD Coin,USDC,2019-02-26,1.02151931981,1.01117203848,1.01623000019,1.01117203848,42569527.3364271,232919408.414078,0.010347281330000069
142,USD Coin,USDC,2019-02-27,1.02175723492,1.00828464211,1.01267471402,1.01596153724,38328217.0150375,234332689.620697,0.013472592809999906
143,USD Coin,USDC,2019-02-28,1.01991919743,1.01060304193,1.01519197463,1.01367279334,31630078.718808,234118356.730469,0.009316155499999867
144,USD Coin,USDC,2019-03-01,1.02372412272,1.01085647506,1.0131166326,1.01085647506,21097111.0348264,233704707.352572,0.012867647660000037
145,USD Coin,USDC,2019-03-02,1.02011692817,1.00807750654,1.01009167827,1.00998479356,18482080.1571748,238964775.951735,0.012039421629999936
146,USD Coin,USDC,2019-03-03,1.01485374118,1.00693102926,1.00870554038,1.01197526809,17429846.1306123,239435726.903801,0.007922711920000047
147,USD Coin,USDC,2019-03-04,1.01749088398,1.01031351351,1.01031351351,1.01548307814,23960578.2755547,240265683.006135,0.00717737047
148,USD Coin,USDC,2019-03-05,1.01684495614,1.01061209396,1.01572701852,1.01684495614,32016571.085516,240587906.541794,0.006232862179999854
149,USD Coin,USDC,2019-03-06,1.02075397668,1.01185116638,1.01755422386,1.0139033972,24347411.6161968,239891926.782962,0.008902810299999953
150,USD Coin,USDC,2019-03-07,1.01776430027,1.01124809396,1.01345785745,1.01348473779,24225453.6435722,239792870.982569,0.006516206310000161
151,USD Coin,USDC,2019-03-08,1.02145057062,1.01058176433,1.01444520158,1.01451937383,27535813.1116716,240037668.301367,0.0108688062900002
152,USD Coin,USDC,2019-03-09,1.02048920357,1.01123119406,1.01416174835,1.01235843981,24550954.4481103,239526386.233332,0.009258009509999887
153,USD Coin,USDC,2019-03-10,1.02284311065,1.01044612577,1.01430472043,1.01950411628,21622741.9921623,241217070.080817,0.012396984880000073
154,USD Coin,USDC,2019-03-11,1.02148345762,1.0104792807,1.02055664513,1.01361980313,25473881.3274985,239824827.759461,0.011004176919999997
155,USD Coin,USDC,2019-03-12,1.01652787656,1.00785391639,1.01324957522,1.01215742163,25249458.0004104,239478824.859485,0.008673960170000106
156,USD Coin,USDC,2019-03-13,1.01918524698,1.01084676948,1.01282100835,1.01329178935,32955077.6335617,243618141.976384,0.008338477499999941
157,USD Coin,USDC,2019-03-14,1.02023947465,1.01243630193,1.01337351951,1.0170898857,30654410.78542,244623975.323924,0.0078031727200000844
